Reference_No,Project_Name,Postal_Code,Rating,SLE_ZE_PE,CN,HW,IN,MT,RE,Prov_Letter,e_cert,Expiry,Project_Type,GFA,Re_Certification,Previous_GM_Cert_Reference_No,GM_Version
GM2979/3/2018,15 Changi Business Park Central 1,486057,Gold,,,,,,,,3/25/2022,3/25/2025,Office,19009.86,Yes,GM0962/10/2011 ,Existing Non-Residential Buildings (RECERT 2017)
GM2985/3/2018,Sigma Data Centre,609434,Platinum,,,,,,,,12/13/2019,12/13/2022,Data Centre,,No,,New Data Centres (Version 1.1)
GM6161/3/2025,Northtech Building,757716,Gold,,,,,,,,5/19/2025,5/19/2028,Industrial,45442.41,Yes,GM3554/7/2019  ,Existing Non-Residential Buildings Re-Cert (GM:2021 In Operation)
GM2855/10/2017,Dakota Breeze (HDB Geylang C15),,GoldPlus,,,,,,,,7/24/2018,8/31/2023,Public Housing,113228.15,No,,New Residential Buildings (Version 4.1)
GM3827/4/2020,*SCAPE,237978,Gold,,,,,,,,3/22/2021,3/22/2024,Office,13102,Yes,GM2453/8/2016,Existing Non-Residential Buildings (RECERT 2017)
GM5401/10/2023,Republic Polytechnic,738964,Platinum,SLE,,,,,,,1/18/2024,1/18/2027,Institutional (School),231464.9,Yes,GM4027/11/2020,Existing Non-Residential Buildings Re-Cert (GM:2021 In Operation)
GM4750/12/2021,1 Changi Business Park Avenue 1,486058,Certified,,,,,,,,10/31/2022,10/31/2025,Office,11578,Yes,GM3401/2/2019,Existing Non-Residential Buildings (RECERT 2017)
GM1033/1/2012,Samsung Asia Pte Ltd,117440,GoldPlus,,,,,,,,12/19/2013,12/19/2016,Office Interior,7282,No,,Office Interior (version 1)
GM6151/3/2025,Centennial Tower,39190,GoldPlus,,,,,,,,6/4/2025,6/4/2028,Commercial,64901.69,Yes,GM4521/9/2021,Existing Non-Residential Buildings Re-Cert (GM:2021 In Operation)
GM6136/3/2025,Digital Realty,,Platinum,,,,,,,,5/29/2025,5/29/2028,Data Centre,34424,Yes,GM2952/1/2018,Existing Data Centres (Version 1.1)
